,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANGUILLA,ANTIGUA & BARBUDA,ARGENTINA,ARMENIA,ARUBA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BERMUDA,BHUTAN,"BONAIRE, SAINT EUSTATIUS, AND SABA",BOSNIA & HERZEGOVINA,BOTSWANA,BRAZIL,BRITISH VIRGIN ISLANDS,BRUNEI (DARUSSALAM),BULGARIA,BURKINA FASO,BURUNDI,CAMBODIA,CANADA,CAPE VERDE,CAYMAN ISLANDS,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (MAINLAND),COLOMBIA,COMOROS,CONGO,COOK ISLANDS,COSTA RICA,COTE D IVOIRE,CROATIA,CUBA,CURACAO,CYPRUS,CZECH REPUBLIC,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DENMARK,DJIBOUTI,DOMINICA,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FAEROE ISLANDS,FALKLAND ISLANDS (MALVINAS),FEDERATED STATES OF MICRONESIA,FIJI,FINLAND,FRANCE (INCLUDING MONACO),FRENCH GUIANA,FRENCH POLYNESIA,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GIBRALTAR,GREECE,GREENLAND,GRENADA,GUADELOUPE,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HUNGARY,ICELAND,INDIA,INDONESIA,IRAQ,IRELAND,ISLAMIC REPUBLIC OF IRAN,ISRAEL,ITALY (INCLUDING SAN MARINO),JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KIRIBATI,KUWAIT,KYRGYZSTAN,LAO PEOPLE S DEMOCRATIC REPUBLIC,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALDIVES,MALI,MALTA,MARSHALL ISLANDS,MARTINIQUE,MAURITANIA,MAURITIUS,MEXICO,MONGOLIA,MONTENEGRO,MONTSERRAT,MOROCCO,MOZAMBIQUE,MYANMAR (FORMERLY BURMA),NAMIBIA,NAURU,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NIUE,NORWAY,OCCUPIED PALESTINIAN TERRITORY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,PLURINATIONAL STATE OF BOLIVIA,POLAND,PORTUGAL,QATAR,REPUBLIC OF CAMEROON,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SUDAN,REUNION,ROMANIA,RUSSIAN FEDERATION,RWANDA,SAINT HELENA,SAINT LUCIA,SAINT MARTIN (DUTCH PORTION),SAMOA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAKIA,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOUTH AFRICA,SPAIN,SRI LANKA,ST. KITTS-NEVIS,ST. PIERRE & MIQUELON,ST. VINCENT & THE GRENADINES,SURINAME,SWAZILAND,SWEDEN,SWITZERLAND,SYRIAN ARAB REPUBLIC,TAIWAN,TAJIKISTAN,THAILAND,TIMOR-LESTE (FORMERLY EAST TIMOR),TOGO,TONGA,TRINIDAD AND TOBAGO,TUNISIA,TURKEY,TURKMENISTAN,TURKS AND CAICOS ISLANDS,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIET NAM,WALLIS AND FUTUNA ISLANDS,YEMEN,ZAMBIA,ZIMBABWE,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU28,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1969,0.257,0.885,3.075,,0.76,,0.343,21.088,0.9963446701980045,,38.794000000000004,12.188,10.15344731350618,0.47600000000000003,0.34700000000000003,1.0233127962085309,0.131,15.781967171329057,33.711,0.037,0.055,0.054,,,2.221900768949103,,22.993000000000002,0.005,0.133,18.101,0.033,0.02,0.367,83.82900000000001,0.01,0.012,0.051000000000000004,0.044,6.151,157.41400000000002,7.649,0.005,0.137,0.003,0.313,0.5690000000000001,2.433536140607836,4.707,,0.456,36.76644204705409,17.492,0.996,16.199,0.023,0.005,0.724,0.98,5.371,0.325,0.012,,4.311094014836814,0.455,0.058,,,0.11800000000000001,10.345,112.697,0.023,0.044,0.391,0.013000000000000001,2.768580339380768,287.165,0.461,0.018000000000000002,6.947,0.111,0.013000000000000001,0.085,0.622,0.20400000000000001,0.016,0.373,0.08600000000000001,0.321,2.116,17.022000000000002,0.34500000000000003,52.011,9.106,6.17,5.049,22.666,4.041,73.632,1.165,178.336,0.48,48.714965153834,0.854,0.003,7.317,2.0251284691931537,0.08700000000000001,2.5534228524609324,1.187,,0.34700000000000003,9.695,,3.9986191415255465,3.598,0.046,1.590783522519224,0.232,0.10400000000000001,2.495,,0.044,0.178,,0.09,0.075,0.156,27.894000000000002,0.732,0.28293674872285896,0.002,1.589,0.884,0.877,,0.018000000000000002,0.109,31.609,0.425,3.892,0.35100000000000003,0.052000000000000005,3.303,,6.0600000000000005,,0.064,5.519687203791469,,0.56,0.152,0.14200000000000002,4.173,6.234,0.6950000000000001,80.08,3.985,1.956,0.156,11.596,3.786109746752418,,,0.061,30.447,375.27305452431926,0.016,,0.017,,0.008,0.004,9.627,0.134,6.410911438754256,0.002,0.302,1.965,11.756557952945908,1.841931380446723,0.01,0.044,39.073,26.42,1.178,,0.009000000000000001,0.008,0.41500000000000004,0.083,23.580000000000002,10.389,1.975,7.18,1.303523359215861,3.971,,0.066,0.003,1.065,1.052,10.583,5.962841491344469,,0.321,113.90503559839728,5.597,171.491,0.49,1097.559,1.526,20.12086615370628,0.012,18.816,7.385,,1.276,1.166,1.841,2936.3096936525944,692.0363063474057,2449.863025395284,1178.4829746047164,1028.5616035298779,75.988,560.0346969503786,15.676,1565.5693030496213,73.286,1209.402,43.330000000000005,85.024,112.83100000000002,38.8230000000018,3780
1970,0.456,1.0210000000000001,4.111,,0.977,,0.126,22.562,1.0479639102171405,,40.256,13.824,10.679483382724442,0.7020000000000001,0.707,1.038014218009479,0.117,16.5996090735325,34.257,0.033,0.077,0.062,0.001,,2.9035622482607106,,25.569,0.005,2.239,16.7,0.039,0.017,0.32,93.124,0.01,0.01,0.057,0.034,6.726,210.422,7.746,0.008,0.156,0.003,0.341,0.666,3.1801256682533867,5.0920000000000005,,0.465,42.15301411622764,20.058,0.74,16.935,0.038,0.007,0.848,1.168,5.914,0.39,0.01,,4.534445836102338,0.451,0.07,0.003,,0.14200000000000002,11.016,119.72,0.028,0.053,0.5680000000000001,0.013000000000000001,2.9120166594870978,280.079,0.716,0.019,6.59,0.10400000000000001,0.012,0.083,0.627,0.216,0.019,0.431,0.105,0.379,2.291,19.09,0.379,53.216,9.769,6.5200000000000005,5.2940000000000005,25.054000000000002,4.521,80.922,1.362,209.66,0.425,51.2388201550354,0.841,0.006,6.829,2.130047575650653,0.156,2.685712160602997,1.077,,0.396,8.817,,4.205782071569121,3.749,0.056,2.078823251556207,0.265,0.124,3.982,,0.055,0.181,,0.099,0.117,0.136,31.108,0.777,0.36973949229329367,0.004,1.989,0.8140000000000001,1.2590000000000001,,0.018000000000000002,0.062,38.706,0.653,3.871,0.383,0.059000000000000004,5.8740000000000006,0.001,7.639,,0.064,5.598985781990522,,0.601,0.189,0.203,4.8500000000000005,6.758,0.678,83.022,4.1610000000000005,2.064,0.17400000000000002,14.667,3.982262858825134,,,0.08700000000000001,32.755,394.7154327029022,0.016,,0.018000000000000002,,0.008,0.004,12.351,0.357,8.37772806537789,0.008,0.23800000000000002,4.966,13.478985883772372,2.4070212742585135,0.011,0.059000000000000004,40.841,31.887,0.981,,0.01,0.008,0.439,0.1,25.192,10.989,1.816,7.847,1.3710571024701326,4.1930000000000005,,0.075,0.007,2.454,1.0210000000000001,11.628,6.271768065997199,,0.394,119.80629803077764,4.158,178.092,0.482,1180.503,1.566,21.16330041410601,0.011,20.333000000000002,7.69,,0.685,1.028,2.226,3135.5788177444665,796.0911822555338,2630.180467110361,1301.4895328896393,1075.2820870107867,82.75800000000001,665.9864572656882,18.547,1644.2325427343123,77.89900000000002,1304.849,45.059000000000005,92.30199999999999,119.33000000000001,1.9999999999999147,4053
1971,0.517,1.187,5.091,,0.93,,0.116,24.254,1.1122871943181103,,41.662,14.223,11.334982524423163,1.836,0.8290000000000001,0.9842132701421802,0.132,17.61848134574713,33.141,0.039,0.08,0.063,0.001,,3.129329732698645,,27.989,0.006,2.05,17.535,0.041,0.02,0.068,96.157,0.01,0.012,0.05,0.041,7.389,239.06,8.27,0.008,0.187,0.003,0.417,0.738,3.4273974368363236,5.347,,0.514,44.2253554594812,29.332,0.808,15.561,0.044,0.007,0.961,1.1520000000000001,6.285,0.41200000000000003,0.018000000000000002,,4.812766916544542,0.505,0.07100000000000001,0.003,,0.15,11.067,126.107,0.028,0.062,0.776,0.015,3.090754183812849,283.20300000000003,0.626,0.022,7.585,0.128,0.013000000000000001,0.093,0.666,0.222,0.02,0.40900000000000003,0.11,0.363,2.498,18.893,0.402,56.141,10.632,7.871,6.135,27.740000000000002,4.431,84.971,1.569,217.49200000000002,0.452,54.383822720198104,1.0050000000000001,0.008,7.401,2.2607883903116943,0.115,2.850559274740832,1.456,,0.41600000000000004,5.9030000000000005,,4.463930002446104,3.6,0.062,2.240462870743318,0.28,0.137,4.548,0.001,0.062,0.18,,0.146,0.109,0.108,34.453,0.8280000000000001,0.3984887140888378,0.004,2.237,0.986,1.3920000000000001,,0.024,0.054,38.417,0.66,4.107,0.41100000000000003,0.063,8.803,0.001,7.417,,0.5710000000000001,5.308786729857821,,0.71,0.225,0.17300000000000001,5.0760000000000005,7.523000000000001,0.835,85.423,4.474,2.496,0.221,15.985000000000001,4.226691338408821,,,0.09,34.314,418.94278697460163,0.017,,0.019,,0.01,0.003,16.31,0.369,9.029141201692926,0.009000000000000001,0.219,4.525,14.1416445405188,2.5941800439399487,0.013000000000000001,0.051000000000000004,45.969,35.092,0.872,,0.013000000000000001,0.008,0.468,0.109,23.068,11.438,2.423,8.596,1.455211618347083,5.249,,0.08600000000000001,0.005,2.21,1.149,13.017,6.656724756958951,,0.393,127.1599239239846,5.777,180.219,0.672,1188.102,1.584,22.462288835156365,0.016,17.061,6.689,,0.538,1.034,2.384,3212.4235445730947,877.6474554269062,2679.0049469604846,1411.0660530395155,1100.2378336745078,90.75800000000001,724.3858602235264,19.762,1703.5201397764743,91.312,1318.853,46.74399999999999,94.69100000000003,125.83800000000002,-7.9089999999990255,4208
1972,0.418,1.539,7.731,,1.229,,0.10200000000000001,24.586000000000002,1.1704840635207887,,42.947,15.324,11.92804922406534,1.77,1.004,0.9570000000000001,0.137,18.54031202011434,35.679,0.043000000000000003,0.106,0.069,0.001,,2.9330232515562065,0.006,31.187,0.006,2.58,18.045,0.044,0.02,0.032,103.937,0.014,0.015,0.046,0.033,7.688,254.043,8.585,0.008,0.181,0.003,0.481,0.8220000000000001,3.2123928231417063,5.672,,0.656,44.63830830484617,24.434,0.8240000000000001,16.265,0.052000000000000005,0.007,1.2750000000000001,1.2530000000000001,6.957,0.458,0.024,,5.06457954926736,0.384,0.064,0.003,,0.158,12.043000000000001,131.096,0.028,0.059000000000000004,0.747,0.018000000000000002,3.25246800906574,284.43,0.661,0.02,8.61,0.151,0.013000000000000001,0.10300000000000001,0.739,0.227,0.018000000000000002,0.426,0.107,0.419,2.532,18.934,0.405,59.408,11.819,8.059000000000001,6.014,28.938,4.618,89.711,1.715,232.717,0.523,57.229282268556304,1.056,0.007,7.5360000000000005,2.379076910505045,0.133,2.99970566976723,1.562,,0.41100000000000003,4.154,,4.697490859578448,3.68,0.063,2.099916038081289,0.35100000000000003,0.149,4.885,0.001,0.067,0.229,,0.214,0.122,0.188,36.122,0.895,0.37349105519071485,0.004,2.195,0.9,1.336,,0.021,0.073,43.031,0.465,4.417,0.438,0.069,11.297,0.001,8.025,,0.5700000000000001,5.162,,0.764,0.34600000000000003,0.195,4.956,7.211,0.974,89.979,5.0040000000000004,2.9410000000000003,0.23500000000000001,16.454,4.4478394413789974,,,0.095,36.112,440.8626280925363,0.018000000000000002,,0.021,,0.01,0.003,19.183,0.397,8.462732708998228,0.012,0.185,6.065,14.273691695153829,2.4314441230318566,0.015,0.064,46.83,39.549,0.966,,0.019,0.01,0.47600000000000003,0.10400000000000001,23.12,11.719,2.118,9.797,1.531350911011583,5.955,,0.109,0.006,2.248,1.292,14.687000000000001,7.005016584805145,,0.377,133.81316015490552,6.396,176.844,0.591,1244.874,1.657,23.63755624092181,0.017,17.065,6.288,,0.40800000000000003,1.109,2.243,3354.5044012722283,923.6625987277722,2794.331023672299,1483.8359763277003,1131.6726130247866,96.24199999999998,765.162284212452,20.864,1764.9777157875478,98.54299999999999,1385.103,48.14900000000001,99.07900000000001,134.37200000000004,-36.539000000000414,4376
1973,0.447,1.443,10.448,,1.331,,0.09,25.652,1.2201453267497764,,46.63,16.407,12.434132143761678,2.1470000000000002,1.506,1.242,0.131,19.32693983015809,37.871,0.04,0.10400000000000001,0.116,0.001,,3.503755034785793,0.014,36.123,0.007,2.722,18.769000000000002,0.046,0.02,0.035,104.069,0.017,0.016,0.044,0.044,7.541,264.124,9.19,0.008,0.333,0.003,0.558,0.875,3.8374866349322594,6.1080000000000005,,0.682,44.82773621556405,26.569,0.871,16.162,0.049,0.007,1.627,1.435,6.489,0.537,0.008,,5.279459380594382,0.47800000000000004,0.069,0.004,,0.17200000000000001,13.468,140.87800000000001,0.032,0.057,1.449,0.017,3.390463625559844,296.565,0.675,0.023,10.16,0.152,0.015,0.111,0.801,0.219,0.03,0.492,0.115,0.41200000000000003,2.535,19.926000000000002,0.47800000000000004,61.179,13.399000000000001,8.357,6.234,35.341,5.266,96.624,2.263,249.727,0.601,59.6574045640414,1.069,0.01,6.611,2.480016315300708,0.14100000000000001,3.126977093205241,1.956,,0.404,3.978,,4.896795862836313,3.864,0.061,2.50853496887587,0.293,0.156,4.776,0.001,0.073,0.22,,0.259,0.128,0.185,39.349000000000004,0.9490000000000001,0.446168016014737,0.004,2.629,0.972,1.121,,0.023,0.115,45.172000000000004,0.709,4.964,0.499,0.09,13.52,0.001,8.324,,0.5760000000000001,5.464,,0.884,0.367,0.23700000000000002,5.388,8.602,0.9430000000000001,91.663,5.455,3.4,0.245,19.933,4.636552241649151,,,0.105,39.531,459.5675346383553,0.019,,0.022,,0.01,0.004,25.944,0.423,10.109480830561608,0.013000000000000001,0.147,5.787,14.334263784435954,2.904574514829733,0.018000000000000002,0.07200000000000001,47.323,42.369,1.006,,0.011,0.011,0.5750000000000001,0.101,23.825,12.616,2.153,10.991,1.5963230221729634,6.6690000000000005,,0.11,0.007,2.563,1.317,16.222,7.302225221285871,,0.322,139.49058095631864,8.353,179.993,0.869,1300.844,1.575,24.6404497780106,0.015,18.135,6.844,,0.745,1.252,2.531,3510.853409081072,992.9275909189281,2929.945033895424,1573.8359661045756,1185.0452934863981,103.399,807.5281599968829,23.802,1847.5878400031172,117.03099999999999,1444.425,52.638,107.32200000000002,143.979,-33.75999999999905,4614
1974,0.523,1.185,8.701,,1.329,,0.117,26.062,1.2668500776042895,,47.002,15.672,12.910086139679064,2.015,1.474,1.2710000000000001,0.134,20.066736877082164,36.875,0.042,0.111,0.121,0.001,,3.5190867813987547,0.024,39.121,0.007,2.232,19.433,0.056,0.025,0.02,106.346,0.018000000000000002,0.015,0.031,0.041,7.078,269.434,9.948,0.008,0.443,0.003,0.52,0.971,3.8542787257414868,6.248,,0.525,45.35510351900262,27.739,0.919,15.02,0.053,0.008,1.75,1.661,7.1240000000000006,0.538,0.014,,5.481546648079158,0.47400000000000003,0.082,0.004,,0.183,12.73,136.098,0.028,0.059000000000000004,1.487,0.017,3.5202438701270027,290.319,0.801,0.021,9.877,0.152,0.01,0.105,0.837,0.229,0.028,0.424,0.129,0.425,2.912,20.208000000000002,0.47500000000000003,63.265,13.979000000000001,8.438,6.355,39.245,5.303,98.011,2.073,249.761,0.608,61.94097206678514,1.35,0.009000000000000001,5.271,2.574946436804998,0.08,3.2466715942323887,1.972,,0.47000000000000003,2.549,,5.084235527395288,3.93,0.073,2.519511827169535,0.324,0.15,5.195,0.001,0.083,0.203,,0.28400000000000003,0.132,0.189,42.271,1.0230000000000001,0.44812035997155825,0.004,3.037,0.859,1.2750000000000001,,0.027,0.116,43.754,0.759,5.115,0.532,0.079,16.987000000000002,0.001,7.553,,0.637,5.841,,0.8240000000000001,0.433,0.26,5.825,8.326,0.9590000000000001,94.59400000000001,5.649,2.86,0.266,20.64,4.814030294896301,,,0.116,41.163000000000004,477.1588712894434,0.02,,0.02,,0.009000000000000001,0.005,26.94,0.505,10.15371794101709,0.015,0.14200000000000002,5.9910000000000005,14.502896480997386,2.9172843647015743,0.018000000000000002,0.09,48.196,47.219,0.8,,0.012,0.009000000000000001,0.437,0.085,21.786,11.312,2.636,10.736,1.6574271114969077,6.612,,0.10300000000000001,0.006,2.741,1.472,16.672,7.581739966100888,,0.326,144.83000461945758,8.543000000000001,168.423,0.629,1254.019,1.55,25.583637480815398,0.017,20.489,5.204,,0.613,1.1460000000000001,2.47,3471.1298927690514,1022.8141072309486,2868.323831012781,1625.6201689872191,1168.2860168601499,106.249,820.5189031494135,23.599000000000004,1852.424096850586,121.21199999999999,1402.8,53.242000000000004,113.84600000000003,133.56500000000008,-4.509000000001407,4623
1975,0.58,1.2530000000000001,8.735,,1.204,,0.193,25.888,1.3318917209102972,,47.964,14.833,13.572905862857962,2.251,1.569,1.328,0.155,21.09698786364158,33.297000000000004,0.048,0.121,0.125,0.001,,3.671953313804467,0.051000000000000004,41.223,0.007,1.931,19.924,0.06,0.021,0.02,108.302,0.021,0.016,0.028,0.05,6.276,312.41,9.789,0.009000000000000001,0.3,0.004,0.556,1.088,4.02170574880996,7.381,,0.54,47.46305730947115,29.381,0.883,15.211,0.054,0.008,1.729,2.008,8.481,0.5750000000000001,0.017,,5.762976004364024,0.33,0.095,0.004,,0.17,12.572000000000001,121.876,0.032,0.058,1.464,0.027,3.700977526144095,273.909,0.749,0.024,10.601,0.138,0.013000000000000001,0.11,0.961,0.23,0.031,0.498,0.132,0.455,3.005,20.559,0.441,68.776,14.716000000000001,9.042,6.014,38.001,5.3580000000000005,93.349,2.233,237.27100000000002,0.68,65.12109786258087,1.357,0.009000000000000001,4.589,2.7071473583153485,0.069,3.4133597126584823,1.754,,0.405,3.158,,5.345266441394149,3.23,0.081,2.6289575613328453,0.462,0.158,5.303,0.002,0.093,0.182,,0.246,0.139,0.161,44.852000000000004,1.109,0.46758637765868766,0.003,3.0300000000000002,0.787,1.2510000000000001,,0.028,0.096,41.729,0.6900000000000001,4.98,0.526,0.091,12.925,0.001,8.092,,1.979,6.332,,0.999,0.418,0.229,5.99,8.870000000000001,1.107,102.416,5.824,2.988,0.317,22.315,5.06118853945913,,,0.132,44.248,501.6567954363915,0.048,,0.021,,0.016,0.005,22.726,0.704,10.594787954087924,0.016,0.14300000000000002,6.6930000000000005,15.176942690528858,3.044009044306115,0.016,0.137,50.505,49.535000000000004,0.79,,0.009000000000000001,0.009000000000000001,0.551,0.092,22.041,10.662,3.0500000000000003,11.868,1.7425214607789867,6.656000000000001,,0.085,0.009000000000000001,2.624,1.5130000000000001,17.916,7.970995834045878,,0.309,152.26575543717087,8.473,164.615,0.623,1201.617,1.6280000000000001,26.897132939286816,0.015,17.403,5.945,,0.592,1.113,2.269,3413.2618678250956,1086.4211321749049,2779.1039850486704,1720.5790149513307,1140.732316951533,105.88700000000001,870.2616705649202,24.479999999999993,1858.74332943508,118.71699999999998,1354.918,53.99699999999999,112.626,122.39,-26.073000000001812,4596
1976,0.542,1.35,10.682,,0.896,,0.11,27.212,1.383273136793525,,47.517,15.93,14.096518338207504,1.7630000000000001,1.793,1.5190000000000001,0.145,21.91086266313677,35.454,0.048,0.07100000000000001,0.128,0.001,,3.7899476382277553,0.162,42.311,0.007,1.643,19.939,0.057,0.024,0.02,108.895,0.02,0.019,0.035,0.05,6.573,326.205,10.387,0.011,0.337,0.004,0.5690000000000001,1.081,4.150938996704504,7.424,,0.672,49.318693122863465,30.049,0.931,16.399,0.054,0.008,1.727,2.212,9.407,0.603,0.017,,5.985298781926534,0.321,0.09,0.004,,0.132,13.984,137.879,0.075,0.07200000000000001,1.557,0.027,3.8437529953956955,298.109,0.664,0.021,11.702,0.06,0.013000000000000001,0.135,0.903,0.242,0.026000000000000002,0.47800000000000004,0.184,0.485,3.411,21.82,0.465,71.935,16.856,13.308,6.08,42.717,5.348,100.167,1.986,247.86,0.805,67.63332476475185,1.2570000000000001,0.009000000000000001,5.038,2.81158307338963,0.061,3.545039527317359,1.671,,0.403,4.886,,5.551474914440459,3.229,0.069,2.713436323690956,0.271,0.159,6.516,0.003,0.093,0.20800000000000002,,0.232,0.14100000000000001,0.169,50.215,1.201,0.48261176987540017,0.003,3.149,0.6980000000000001,1.336,,0.028,0.077,46.273,0.652,5.246,0.607,0.091,15.066,0.001,7.995,,2.271,6.228,,0.985,0.429,0.28200000000000003,6.12,9.58,1.249,108.818,6.115,2.832,0.298,25.445,5.2564379198153945,,,0.17200000000000001,47.659,521.0095971936903,0.073,,0.023,,0.013000000000000001,0.008,27.693,0.484,10.935240225730604,0.022,0.123,8.191,15.770306877136537,3.14182504577078,0.017,0.131,52.663000000000004,54.116,0.765,,0.013000000000000001,0.009000000000000001,0.545,0.091,24.082,11.040000000000001,3.7520000000000002,15.322000000000001,1.809744057373057,7.848,,0.088,0.008,4.343,1.595,20.104,8.278499098404836,,0.27,158.13982911903437,10.813,163.32500000000002,0.761,1258.0040000000001,1.608,27.934764416322658,0.012,15.638,3.797,,0.7000000000000001,1.098,2.964,3584.7150035788845,1162.7389964211154,2932.405123827697,1815.0488761723022,1219.42357726616,114.91999999999999,914.7004598806388,28.709,1964.6225401193615,138.84499999999997,1417.1870000000001,53.745000000000005,114.69400000000002,120.03099999999999,-3.4849999999969867,4864
1977,0.652,1.56,11.424,,0.964,,0.127,27.486,1.4304339887306017,,51.21,15.331,14.577120322366273,2.65,2.037,1.585,0.161,22.657884290597217,34.516,0.054,0.081,0.124,0.002,,3.68563163676309,0.213,44.44,0.008,1.744,20.717,0.068,0.027,0.02,111.304,0.022,0.02,0.035,0.054,6.3020000000000005,357.325,10.732000000000001,0.011,0.131,0.008,0.713,1.106,4.036686927865251,8.018,,0.728,50.80305023124875,31.052,0.9510000000000001,16.866,0.054,0.007,1.5310000000000001,2.041,10.326,0.624,0.017,,6.189359557882843,0.28600000000000003,0.111,0.004,,0.209,13.695,131.131,0.093,0.075,1.722,0.031,3.974800625163705,287.719,0.8190000000000001,0.021,12.817,0.197,0.013000000000000001,0.14300000000000002,1.04,0.246,0.028,0.518,0.193,0.546,3.8810000000000002,22.69,0.52,76.098,22.48,11.92,6.4270000000000005,44.715,5.425,97.13,2.031,255.035,0.863,69.93919273138957,1.379,0.006,4.696,2.9074402468617344,0.063,3.6659029199560997,1.52,,0.402,5.4830000000000005,,5.740745044473643,2.98,0.084,2.638750640790919,0.231,0.17400000000000002,6.166,0.004,0.113,0.219,,0.233,0.152,0.17500000000000002,52.59,1.356,0.4693281747182047,0.007,3.464,0.74,1.411,,0.031,0.092,44.799,0.584,5.5360000000000005,0.774,0.1,13.790000000000001,0.001,8.473,,2.32,6.651,,0.9440000000000001,0.431,0.316,6.365,10.023,1.222,114.269,6.198,2.707,0.427,28.828,5.435649157176287,,,0.177,48.65,538.7727242417617,0.073,,0.019,,0.022,0.008,32.227000000000004,0.612,10.634254395768798,0.023,0.14,7.72,16.244949768751255,3.0553482240937386,0.022,0.218,54.527,53.358000000000004,0.796,,0.01,0.009000000000000001,0.518,0.093,23.399,11.204,3.999,16.697,1.8714448663193053,8.77,,0.126,0.008,4.4110000000000005,1.843,22.245,8.560743479399687,,0.22,163.53139559138367,10.577,164.916,0.549,1293.2350000000001,1.541,28.88716293653766,0.014,17.38,4.166,,0.8130000000000001,1.0210000000000001,2.536,3646.1651625074173,1233.5628374925825,2976.4407077819765,1903.2872922180231,1208.2910426742717,118.45000000000002,975.2803391967684,27.833000000000006,1978.0056608032312,146.06399999999996,1457.3360000000002,57.75100000000001,118.958,122.906,13.366000000000838,5016
1978,0.589,1.7710000000000001,17.052,,1.476,,0.134,27.990000000000002,1.4796342640797127,,55.09,15.676,15.078505453947214,1.802,2.118,1.641,0.17200000000000001,23.437210113884564,37.048,0.059000000000000004,0.099,0.116,0.003,,4.118678322958623,0.227,48.248,0.008,2.602,22.201,0.095,0.028,0.014,113.416,0.057,0.026000000000000002,0.04,0.053,6.258,398.737,11.367,0.008,0.088,0.008,0.797,1.314,4.510981179055292,8.369,,0.766,51.2751045847577,29.575,0.965,16.667,0.055,0.007,1.486,2.843,10.721,0.652,0.019,,6.402244736004711,0.374,0.109,0.004,,0.194,14.157,137.949,0.09,0.085,2.062,0.038,4.111515277329806,295.038,0.81,0.019,13.112,0.107,0.014,0.14400000000000002,1.1260000000000001,0.246,0.028,0.561,0.20600000000000002,0.559,4.296,24.049,0.525,77.20100000000001,25.616,11.540000000000001,6.428,44.306,5.775,101.782,2.487,246.49200000000002,0.993,72.34477562943897,1.452,0.006,5.727,3.0074426669899275,0.063,3.791992927943822,1.558,,0.41100000000000003,5.792,,5.938199970127219,3.231,0.113,2.948793079458074,0.278,0.183,6.337,0.006,0.108,0.255,,0.199,0.159,0.17200000000000001,60.717,1.577,0.524472321184891,0.007,3.5660000000000003,0.784,1.4060000000000001,,0.031,0.09,46.509,0.421,4.9110000000000005,0.718,0.114,13.17,0.001,9.488,,2.126,7.128,,0.775,0.457,0.398,6.125,10.22,1.371,117.82300000000001,6.202,2.872,0.546,30.926000000000002,5.622610203502909,,,0.196,52.878,557.3039997792011,0.079,,0.027,,0.029,0.009000000000000001,31.397000000000002,0.717,11.883735917555498,0.021,0.194,9.044,16.395895415242308,3.4143391797876235,0.017,0.152,55.113,54.675000000000004,0.9410000000000001,,0.009000000000000001,0.01,0.653,0.12,21.689,11.513,4.151,19.400000000000002,1.9358138644338567,9.563,,0.097,0.01,4.18,2.043,21.068,8.855193233598651,,0.191,169.1561149106306,12.221,165.008,0.601,1333.75,1.566,29.88074696888685,0.016,18.732,4.205,,0.847,0.9480000000000001,2.535,3745.49587268275,1318.0921273172498,3054.459583915793,2009.128416084208,1244.871757992919,126.54399999999998,1024.9356273587052,27.038000000000004,2043.292372641295,146.69900000000004,1507.999,60.84400000000001,126.20600000000002,124.60900000000002,-114.19700000000067,5074
